2025-06-21 06:10:12,555 - result - CRITICAL - LLM: gpt-4.1-nano
2025-06-21 06:10:12,555 - result - CRITICAL - Mode: Solo
2025-06-21 06:10:12,555 - result - CRITICAL - Datapoints: 500

2025-06-21 06:10:12,556 - result - CRITICAL - ESSAY SET 1:

2025-06-21 06:15:42,989 - result - CRITICAL - 
                                                  essay  score  y_pred  diff
23    "Dear The @CAPS1, @CAPS2 has been an argument ...     10       8    -2
89    "Dear @CAPS1 @CAPS2, I think that being on the...      8       8     0
545   "Dear @CAPS1 Newspaper, @CAPS2 you know what c...      8       4    -4
769   "Dear @CAPS1, @CAPS2 name is @PERSON1 and I wi...     12       4    -8
74    "Dear @CAPS1 of the @ORGANIZATION1, I personal...      7       4    -3
447   "@ORGANIZATION2. Hey ma name is @PERSON1 I'm @...      8       4    -4
44    "Dear newspaper editor, I have recently heard ...      6       6     0
831   "Dear Newspaper, i am writing you this letter,...      8       4    -4
117   "Student @ORGANIZATION2: @PERSON1 @CAPS1: @NUM...      6       6     0
1058  "I think that computer are a good benefit for ...      8       7    -1
671   "Dear @CAPS1 @CAPS2 I think it's a good thing ...      8       4    -4
211   "Dear readers, @CAPS1 if I told you that every...     10       8    -2
714   "Dear @CAPS1 of the @CAPS2 @CAPS3 daily, I am ...      8       6    -2
248   "Dear editor, Computers are becoming more and ...     12       8    -4
147   "Dear local newspaper, I feel very strong abou...      6       8     2
108   "Dear Newspaper @CAPS1, @CAPS2 you like it if ...      9       4    -5
965   "Dear trained readers, @CAPS1't you agree that...      8       4    -4
1053  "Dear @CAPS1, I believe that computers are goo...      9       4    -5
781   "Dear local newspaper, I strongly think we sho...      6       4    -2
404   "Dear local newspaper, I just wanted to say th...      8       4    -4
917   "Dear @CAPS1: you recently posed a question in...     12       8    -4
820   "Dear @LOCATION1, I believe that going on the ...      5       4    -1
201   "Dear: local newspars @CAPS1 recently been bro...      8       4    -4
768   "Computers definitely have a positive impact o...      9       8    -1
114   "Dear @ORGANIZATION1, @CAPS1 opinion on the ef...      8       6    -2
729   "Dear Newspaper of @LOCATION1, The use of the ...     10       8    -2
634   "@CITY1 @CAPS1, Computers are very helpful dev...     11       9    -2
894   "I Believe that computers have a positive effe...     11       8    -3
1030  "Dear Newspaper, @CAPS1 do @CAPS5 do when @CAP...      8       6    -2
920   "Dear local newspaper, @CAPS1 are several reas...      9       4    -5
93    "Should there be computers in are society. Yes...      7       4    -3
832   "Dear local newspaper, Computers have a good e...      8       6    -2
1063  "Dear Local Newspaper: @CAPS1 you know that ov...     12       8    -4
646   "The @ORGANIZATION1 @ORGANIZATION1 Newspaper j...      8       4    -4
320   "Dear @CAPS1, I believe that computers do have...      8       8     0
861   "To the Local Newspaper, Computers have a heav...      8       8     0
764   "Dear @LOCATION1, I believe computers have a p...     10       9    -1
231   "Do computer hurt you fate a you exercise? I t...      8       4    -4
444   "@ORGANIZATION1, @CAPS1 is a lot of positive t...      8       7    -1
60    "Dear @ORGANIZATION2, @CAPS1 @CAPS2 of @CAPS3 ...      9       4    -5
374   "Some people think it is a good idea and same ...      7       6    -1
574   "Dear @CAPS1, @CAPS2 my name is @CAPS3 and I d...      7       4    -3
896   "Dear @CAPS1 @CAPS2 @CAPS3, @DATE1's society i...     11       4    -7
922   "Dear local newspaper, I think that the comput...      8       6    -2
1039  "Dear, @ORGANIZATION2. A computer is a very he...      9       6    -3
878   "Dear Local Newspaper, I just heard that peopl...      7       4    -3
315   Dear: local newspaper I agree with experts tha...      6       4    -2
851   "Dear Local Newspaper, I am writing to you abo...     10       4    -6
702   "Dear Local Newspaper, ""@CAPS1 people have an...      9       4    -5
439   "Dear @CAPS1, I think that computer are a wast...      6       4    -2
919   "Dear editor of the @CAPS1 @CAPS2, People say ...     10       8    -2
998   "Dear local newspaper, In my opinion I feel li...      9       4    -5
977   "In modern society, @CAPS3 is rare that you co...     10       6    -4
428   "Dear local Newspaper, I assume you've heard a...      9       4    -5
700   "Dear local newspaper, @CAPS1 people are talki...      9       6    -3
327   "Dear local newspaper, I think the effects of ...      8       6    -2
68    "@ORGANIZATION1, The use of computer per famil...     10       4    -6
1068  Dear - Local Newspaper I agree thats computers...      7       4    -3
500   "@ORGANIZATION1, @PERCENT1 of people in the wo...      8       4    -4
314   "Dear local Newspaper? Today i am wrinting thi...      7       4    -3
930   "Dear @CAPS1, I am aware of the current debate...      9       4    -5
203   "Dear local Newspaper, I think that computers ...      8       8     0
664   "Dear Local @CAPS1, @CAPS2 do you feel about c...      9       6    -3
803   "Dear local news paper, I agree that technolog...     10       8    -2
302   "To whom this @MONTH1 concern: I heard that pe...      8       8     0
667   "Dear Local Newspaper, I am writing to you to ...      9       8    -1
580   "Dear Readers, @CAPS1 of the most important in...     10       6    -4
956   "I do not beileve that computers benefit socie...      7       4    -3
675   "Dear Local Newspaper, I think the effects tha...     10       8    -2
1020  "In my own opinion I think that people should ...      7       4    -3
561   "The computer is a good way to contact family ...      8       4    -4
179   "Dear local Newspaper, This is a letter about ...      8       8     0
149   "Dear Local Newspaper, Have you ever forgot th...     10       8    -2
891   "Dear Local Newspaper, I agree with the concer...      8       8     0
928   "Computers are becoming more advanced everyday...      8       6    -2
635   "Dear local newspaper, I has come to my attent...     12       4    -8
257   "Dear local Newspaper, I hear you are whether ...      9       8    -1
967   "Computers were built to help the people make ...      9       8    -1
194   "@ORGANIZATION1, In today's age computers are ...      9       8    -1
223   "Dear Newspaper, I have been reading about the...      9       4    -5
884   "Knoleg is one of the greatest quests for mank...     10       8    -2
18    "Dear Newspaper, In @DATE1's world we are depe...     10       8    -2
135   "Dear local newspaper, @CAPS1 my opinion on th...      6       4    -2
1045  I think that will are all spending to much tim...      8       4    -4
784   "Dear Newspaper @CAPS1, @CAPS2 people in our c...      9       6    -3
86    "Dear, Who ever this concerns Some people are ...      7       8     1
162   "Dear @ORGANIZATION1, @CAPS1 name is @CAPS2 @C...      5       4    -1
901   "Dear Local newspaper, I think computers are g...      8       4    -4
88    "Dear Readers of the Local Newspaper, More and...      8       8     0
466   "Dear editor of local newspaper, @CAPS1 you kn...     11       4    -7
871   "Dear Local Newspaper, Have you ever thought a...     10       8    -2
523   "some people learn about far away places, gett...      8       4    -4
456   "Dear @CAPS1 @CAPS2, Computers are all around ...      7       4    -3
410   "Dear @CAPS1, @CAPS2 out of ten people spend t...      8       4    -4
14    "Dear Newspaper, People are spending way too m...      9       8    -1
565   "Dear @CAPS1, @CAPS2, I would like to thank yo...     10       8    -2
946   "Deear Newspaper, I think that the effects tha...      8       4    -4
503   "Dear @PERSON1, I'm sending you this letter on...      8       4    -4
984   "Dear @CAPS1, Some people say that computers a...      9       8    -1
413   "Dear editor, Have you ever would to know some...     11       9    -2
631   "would you rather read six books to get that o...      8       6    -2
793   "Dear The Local Newspaper, I do @CAPS1 compute...      8       7    -1
476   "Dear Local Newspaper, @CAPS1 opinion on the e...      8       8     0
187   "Dear Local Newspaper, I agree with the expert...      7       6    -1
397   "Coumputors are mind browning on what they can...      8       4    -4
712   "Do a adults and kids spend to much time on th...      7       4    -3
1017  "Computers, one of the daily things we use and...      6       4    -2
815   "Dear @ORGANIZATION1, I think that computers c...      8       4    -4
264   "Dear The @CAPS1 newspaper, @CAPS2 in front of...     12       4    -8
407   "@ORGANIZATION1, @CAPS1 you @CAPS2 want your k...      8       4    -4
370   "Dear @ORGANIZATION1, To begin, I understand t...      8       8     0
695   "Everyone loves staying on the computer. I wou...      8       6    -2
110   Dear People Computers are not a really good th...      8       6    -2
270   "Do Computers benfit the society? Yes, compute...      8       4    -4
384   "Dear @CAPS1 @CAPS2, Computers do put possitiv...      8       8     0
689   "Dear @CAPS1 @CAPS2: The effects computers hav...      8       4    -4
708   "Man has always been interested in technology....      8       6    -2
213   "Computers are a huge impact on society, but d...      9       4    -5
636   "Dear @CAPS1 @CAPS2 register, I am writting yo...      9       4    -5
109   "Do you have a computer? I'll bet @PERCENT2 of...     10       4    -6
814   "Dear Newspaper, The world that we live in tod...      9       6    -3
899   "Dear Readers, @CAPS1 you imagine not talking ...      8       4    -4
830   "Dear @CAPS1, @CAPS2 the ages, technology has ...     11       6    -5
127   "Dear the newspaper, Computers are great resou...     10       6    -4
209   "Do you like your computer? Does it benifit yo...      9       6    -3
973   "Dear local @CAPS1, @CAPS2 people have been us...      9       4    -5
255   "On today's society many new technologys have ...      8       4    -4
498   "Dear, local news time editor using a @CAPS1 d...     10       4    -6
1056  "Dear @CAPS1 @CAPS2 I believe that there is mo...      9       6    -3
189   "Dear The @ORGANIZATION1, Computers are out! T...     10       4    -6
759   "I walked into my living room. I saw my brothe...     10       4    -6
207   "Dear @CAPS1 -in-@CAPS2, Computers are very he...      8       8     0
839   "@ORGANIZATION1, I am writing this letter to i...      8       4    -4
691   "Dear Newspaper, Have you notice that now a da...     10       4    -6
534   "The innovation of computers was a great leap ...     12       7    -5
440   "Being active has no limit, but technology does."      2       4     2
253   "@ORGANIZATION1, @CAPS1 a world without comput...      9       9     0
855   "As you can see, technology these days is alwa...      9       7    -2
995   "Dear local newspaper, I have recently saw tha...      9       8    -1
242   "Dear newspaper I hear the more and more peopl...      8       4    -4
460   "Dear @ORGANIZATION1, Some people are debating...     10       8    -2
788   "Dear @CAPS1 I support that computers have a p...      8       4    -4
398   "In my opinion, having computers is avery nice...     10       8    -2
0     "Dear @CAPS1 @CAPS2, I believe that using comp...      9       8    -1
279   "Dear local newspaper, I agree with the people...      8       6    -2
727   "Dear @ORGANIZATION1, I think computers are go...      6       6     0
910   "Did you know that @PERCENT2 out of @PERCENT1 ...      9       9     0
389   Computers don’t have any affect on kids we jus...      5       4    -1
57    "I walked into my living room. I saw my mom av...     11       8    -3
867   "Dear editor, computers are good for people be...      2       4     2
465   "Dear local newspaper, I strongly think that m...     10       8    -2
236   "Dear Newspaper @CAPS1, The average american u...     10       6    -4
402   "Dear Local Newspaper @CAPS1, @CAPS2 show that...     10       6    -4
22    "Dear @ORGANIZATION1, In this new digital age,...     11       4    -7
183   "Dear Newspaper @CAPS1, @CAPS2 people believe ...     10       8    -2
313   "Dear Local Newspaper, @CAPS1 personal experie...      9       9     0
883   "Dear town of southing ton, Computers our town...      8       6    -2
819   "Dear newspaper editor, In my opion computers ...      8       6    -2
188   "Dear @CAPS1 of @LOCATION1, @CAPS2 the world h...     12       6    -6
541   "Dear @ORGANIZATION1, I am aware that some peo...     10       8    -2
282   "Dear local Newspaper, @CAPS1 has come to @CAP...      8       6    -2
746   "Dear people that read the news paper and that...      8       4    -4
592   "Dear newspaper I think that there are many re...      9       6    -3
55    "Dear @ORGANIZATION1, I believe many people sp...      9       6    -3
387   "Dear People of @LOCATION2, @CAPS1 many hours ...     10       6    -4
720   "Over the past decade, the percentage of peopl...     10       6    -4
972   "Dear Newspaper @CAPS1, With computers being s...     10       9    -1
338   "Dear, @CAPS1 town. As you know it computers a...      6       4    -2
134   "Dear @CAPS1, I believe that computers can be ...      8       8     0
573   "Dear @CAPS1, I believe that computers have a ...      8       8     0
371   "Dear Newspaper, I'm writing to you about the ...      7       4    -3
3     "In the @LOCATION1 we have the technology of a...      9       7    -2
970   "Do you think people spend to much time on the...      8       4    -4
435   "Dear Local Newspaper, Have you ever thought a...     10       8    -2
40    "Dear Readers of the @ORGANIZATION1, Computers...     10       7    -3
640   "Dear computer experts, @CAPS1 this: A family ...     12       9    -3
1012  "My opinion on computers is that I think it's ...      8       6    -2
62    "I think computers are good because if you nee...      6       4    -2
140   "Suppose you have a family member that you hav...      8       6    -2
43    "Computers and modern technology are advancing...      9       9     0
907   "Dear editor of @ORGANIZATION1, I am writting ...      8       4    -4
982   "Did you know that in a recent poll in the @CA...      9       6    -3
197   "Dear Newspaper, People should play with their...      9       6    -3
340   "Dear Local newspaper, I have concerned becaus...      8       6    -2
27    "@ORGANIZATION1, In my opinion computers can b...      9       6    -3
773   "Do Computers @CAPS1 Society? This question mi...      6       4    -2
835   "The computer effects peoplelife by taking the...      8       4    -4
829   "Dear local newspaper @CAPS1, I do agree that ...      8       4    -4
660   "Dear local Newspaper, I was reading this arti...      8       4    -4
132   "Dear @CAPS1 times, I am writing in regards to...      8       6    -2
617   "Guess what! Do you like to use computers well...      8       4    -4
41    "Dear local Newspaper, Some people say compute...      9       6    -3
266   "Have you ever had someone move away and you w...      9       6    -3
511   "Dear Local Newspaper, I don't know if I am un...      9       6    -3
723   "Dear @CAPS1, @CAPS2 name is @PERSON1 and I do...      8       4    -4
300   "Dear @ORGANIZATION1, it has come to my attent...     10       8    -2
751   "Not everyone thinks computers are good for yo...      6       4    -2
30    "@ORGANIZATION1, @CAPS1 has been a lot of disc...     10       6    -4
294   "Dear Newspaper, @CAPS1 do you feel about comp...     11       6    -5
477   "Dear newspaper, I heard you were discussing i...     11       4    -7
24    "Dear Local Newspaper @CAPS1, @CAPS2 our techn...     12       8    -4
916   "Dear readers, I right to you today about the ...      8       6    -2
806   "Dear @CAPS1 @CAPS2, I have recently heard abo...      8       9     1
35    "Dear Local Newspaper, everday @CAPS1 technolo...      9       6    -3
868   "When your were a kid, did your parents let yo...     10       6    -4
612   "Advancements in technology are very practical...     10       8    -2
391   "Dear @CAPS1 of the Newspaper, @CAPS2 is no do...     10       6    -4
754   "Dear @CAPS1, @CAPS2 would you want to do in y...      9       6    -3
577   "Dear editor, @CAPS1 you think that people spe...      8       8     0
1007  Dear @CAPS1 @CAPS2 I think that people are spe...      8       4    -4
1062  "Dear @PERSON1, Computers are very helpful in ...      8       6    -2
426   "Dear @ORGANIZATION1, @CAPS1 the world forty y...     11       8    -3
555   "Each year the world becomes more and more adv...     10       7    -3
293   "Dear local Newspaper, In my opinion computers...      9       4    -5
102   "Dear, @ORGANIZATION1 @CAPS1 opinion is gettin...      6       4    -2
507   "Dear local newspaper, Computers are a usefull...      8       8     0
316   "The importance of computers in the modern wor...      4       4     0
666   "Dear @CAPS1 @CAPS2, @CAPS3 are you? As for me...     10       6    -4
535   "Dear Local Newspaper, I am writing a letter t...      8       4    -4
21    "Dear @CAPS1 and @CAPS2 of the @LOCATION1 @CAP...      7       4    -3
155   "Dear @ORGANIZATION1 newspaper, I firmly belie...     10       8    -2
198   "Dear @ORGANIZATION1, Computers these days hav...     10       8    -2
364   "Dear Local Newspaper, @CAPS1 name is @PERSON1...     10       4    -6
4     "Dear @LOCATION1, @CAPS1 people acknowledge th...      8       6    -2
711   "Dear @LOCATION1, *@CAPS1*. Now I hear my favo...     10       8    -2
353   "I belive the reason why people use the comput...      8       6    -2
598   "Dear @CAPS1, @CAPS2 a student I believe that ...      9       6    -3
735   Dear local newspaper I think that usieng compu...      6       4    -2
210   "Dear @ORGANIZATION2, Computers are destroying...     11       4    -7
301   "I think @CAPS1's should use computer's so the...      6       4    -2
25    "Dear Local Newspaper, @CAPS1 @PERCENT1 in tow...      9       4    -5
411   "Dear @CAPS1, @CAPS2 people find the clicking ...      8       6    -2
87    "The amount of computer usage has been signifi...     11       4    -7
908   "Dear @ORGANIZATION1, I took a poll of @NUM1 p...      8       4    -4
934   "Dear Newspaper @CAPS1 @CAPS2 you think that c...      8       4    -4
790   "Dear local newspaper, @CAPS1 has come to my a...      9       4    -5
1002  "Dear Newspaper @CAPS1, Are you aware that mor...      9       4    -5
719   "Dear @LOCATION1, @CAPS1 you think the compute...      8       4    -4
163   "Computers are an amazing technology to life. ...      8       4    -4
195   "I think computers are good, because some peop...      4       4     0
336   "Dear @ORGANIZATION1, I am here to talk about ...      9       6    -3
918   "People are asking me, ""@CAPS1 you think we s...      8       6    -2
508   "Dear editor, I beleve that people should have...      7       4    -3
683   "Dear local news paper, @CAPS1 computers is a ...      8       6    -2
1018  "Dear, local newspaper people @CAPS1's lot of ...      8       4    -4
297   "People often say that computers and technolog...      8       6    -2
509   The effects of computers to people are that ad...      8       8     0
519   "Dear Newspaper people, @CAPS1 you might heard...      9       4    -5
69    "Dear editor: More and more people use compute...      9       8    -1
752   "Dear @ORGANIZATION1, @CAPS1 being at home wit...     10       8    -2
82    "Dear @CAPS1, I think that people I should the...      6       4    -2
383   "Dear @CAPS1 paper, @CAPS2 name is @PERSON1 an...      8       4    -4
239   "To the editor of the daily newspaper, I stron...     10       4    -6
537   "Computers are a nice item to have but they ar...      9       8    -1
952   "Dear @CAPS1, In a recent poll it was determin...     10       8    -2
272   "Dear @CAPS1 @CAPS2, I have some opinions on t...      9       8    -1
204   "Dear Local Newspaper, I'm writeing to you tod...      8       4    -4
124   "Dear, Newspaper I believe that the use of com...      8       4    -4
20    "Dear Newspaper, @CAPS1 computers become more ...      8       6    -2
876   "Dear Newspaper, @CAPS1 being able to find the...      8       6    -2
430   "Dear @ORGANIZATION1, I understand that there ...     11       4    -7
342   My experience with commputer's is good because...      6       5    -1
591   "@ORGANIZATION1, In my point-of-view, I think ...      8       8     0
665   The effect's computers have on people is not r...      5       4    -1
424   "Dear local newspaper, I think that computers ...      8       8     0
425   "Dear newspaper, I think that using your compu...      8       6    -2
858   "In my opinion I think that computers have not...      7       6    -1
5     Dear @CAPS1 @CAPS2 I feel that computers do ta...      8       4    -4
129   "Dear newspaper, In my opinion, I believe that...      8       4    -4
286   "Dear @CAPS1 @CAPS2 @CAPS3, I think we should ...     10       9    -1
969   "Are people today spending to much time on com...      8       4    -4
572   "Dear local newspaper, @DATE1 I am going to wr...     10       9    -1
215   "To the editor of the @ORGANIZATION2, I am wri...     10       9    -1
1036  "Dear @ORGANIZATION2, @DATE1, computers are a ...     11       8    -3
251   "Computers have many effects on people these d...      8       4    -4
481   "Dear @LOCATION1 @CAPS1, @CAPS2 are high tech ...     11       4    -7
645   "Dear Local newspaper, Technology is a ever ev...      6       4    -2
653   "Dear Local Newspaper, I am here to tell you t...      9       6    -3
765   "Have you ever thought about all the amazing t...     11       7    -4
947   "To whomever this @MONTH1 concern, @CAPS1 your...     10       6    -4
273   "Dear @CAPS1-republican, @CAPS2 do benifit soc...      8       4    -4
54    "Dear Local Newspaper, Spending too much time ...     11       6    -5
461   "Dear, @CAPS1 Who would'nt agree that more and...      8       4    -4
17    "Dear @ORGANIZATION1, In the past ten years, a...      8       8     0
265   "To whom it @MONTH1 concern, @CAPS1. My name i...     11       4    -7
366   "Dear @ORGANIZATION1, @CAPS1 has been brought ...     12       6    -6
307   "Dear local news paper, I think computers can ...      8       4    -4
380   "The use of computers is definetly correct. It...      7       4    -3
158   "Dear Local Newspaper, @CAPS1 of all I would l...      7       4    -3
903   "Dear The @CAPS1 @CAPS2, Experts say that comp...      9       7    -2
166   "Dear @CAPS1 local @CAPS2, I think that comput...      8       4    -4
963   "Dear local Newspaper, @CAPS1 you love compute...      8       6    -2
828   "There are many great things about computers. ...      8       8     0
214   "Dear local newspaper, I think that using a co...      8       4    -4
178   "Dear Local Newspaper, I have been asked to wr...     10       7    -3
528   "Computers are one of the best advances in tec...     10       8    -2
141   "Dear Local Newspaper, I think computers have ...      9       8    -1
394   "Dear newspaper, @CAPS1 some beleive computers...      9       6    -3
243   "I agree that computers have a bad effect on p...      6       4    -2
152   "Dear @CAPS1, I belive that people are spendin...      8       8     0
438   "Dear, whom @MONTH1 concern; Local Newspaper. ...      8       2    -6
372   "I think it is okay for people to use computer...      8       4    -4
648   "Dear local nepaper, I have reacently heard ab...      8       4    -4
794   "Dr. @DR1, The effects computers have on peopl...      7       4    -3
607   "Dear editor: @CAPS1 you know that @PERCENT1 o...      9       8    -1
378   "Readers of ""@LOCATION2 @CAPS1"" should be we...     11       9    -2
557   "Dear @LOCATION1, Have you ever found yourself...      8       4    -4
681   "To the @CAPS1 @CAPS2 @CAPS3, This day in age,...     11       6    -5
119   "Dear, editor of the @ORGANIZATION1. I beleive...     10       8    -2
1067  "Dear readers, I think that its good and bad t...      2       4     2
184   "Dear @CAPS1, I believe computers are a huge b...     10       9    -1
656   "Dear newspaper editor, I think we should have...      9       6    -3
987   "The advancements of technology has developed ...      8       4    -4
785   "Dear, @CAPS1 of the @ORGANIZATION1 @CAPS2 has...      9       9     0
95    "Dear @ORGANIZATION1 @ORGANIZATION1, Have you ...      8       7    -1
470   "I believe that people should enjoy nature mor...      7       6    -1
1055  "Dear @ORGANIZATION1, @CAPS1 you know that @NU...      9       4    -5
97    "Computers have a good effect on people becaus...      9       6    -3
157   "Dear local newspaper, Too much technology! Co...      8       6    -2
892   "Dear Local @CAPS1, I am deligted to write thi...      9       8    -1
774   "Dear newspaper, I think computers have a good...     10       8    -2
538   "Dear local newspaper, I think your wrong!!. I...      8       4    -4
637   "Dear @CAPS1, @CAPS2 we all know more and more...      7       6    -1
1057  "Computers have gotten more advanced over time...      8       6    -2
512   "Lies! The computers we use in society do not ...     10       8    -2
888   "@ORGANIZATION1, In my opinion, the effects co...      6       8     2
168   "Computers are very helpful in many of ways. I...      6       4    -2
28    "Dear @CAPS1 @CAPS2 @CAPS3, I am writing to te...      7       4    -3
960   "Dear @CAPS1 @CAPS2, I am writing to you about...      7       6    -1
339   "Dear Newspaper, I strongly believe that compu...      8       4    -4
659   "@CAPS1 you know we all like computers and we ...      8       4    -4
246   "Dear @LOCATION1 @CAPS1, Computers lately have...     10       4    -6
808   "@DATE1 @CAPS1 The @CAPS2, I believe that comp...      8       8     0
975   "I don't think computers benefit the society a...      8       4    -4
816   "Dear Local Newspaper, Local newspaper do you ...      8       4    -4
743   "Dear @CAPS1 @CAPS2 @CAPS3, Computers are a so...      8       4    -4
303   "Dear @LOCATION1, @CAPS1 you believe people sp...      8       4    -4
974   "Dear Newspaper, I believe that computers have...      8       8     0
1000  "Dear @CAPS1 and readers @ORGANIZATION1 the @O...     11       4    -7
715   Dear local Newspaper @CAPS1 a take all your co...      3       4     1
889   "Dear Local Newspaper, I think computers have ...      8       8     0
412   "Dier: newspaper I thingk the computers are be...      7       4    -3
992   "Dear @CAPS1 @CAPS2, @CAPS3't it about time we...      9       8    -1
875   "Almost every family has access to a computer....     12       8    -4
750   "Dear Newspaper, The question is whether or no...      9       6    -3
898   "Dear Local newspaper, @CAPS1 opinion is yes p...      7       4    -3
70    "Dear newspaper, @CAPS1 people think that comp...      8       8     0
661   "Dear local Newspaper, Have you ever wondered ...      6       4    -2
67    "Dear @CAPS1, A recent study by scientists sho...     10       6    -4
222   "Dear fellow citizens, @CAPS1 think if you had...     10       6    -4
962   "Dear local newspaper, Those who do support ad...      9       6    -3
701   "Dear NewsPaper @CAPS1, Have you ever taken in...     10       8    -2
630   "Dear local newspaper, A question that recentl...     10       4    -6
576   "Dear @CAPS1, @CAPS2 people have computers, an...      9       6    -3
1051  "Dear local newspaper editor, @CAPS1 you love ...      8       4    -4
